	term	odif	pvals	num_enriched_exps	num_total_exps
desert	desert	-0.5157342657342657	0.0009990009990009652	6	7
soil crust *	soil crust *	-0.5119617224880383	0.0009990009990009652	1	1
depth 1cm *	depth 1cm *	-0.5119617224880383	0.0009990009990009652	1	1
state of utah	state of utah	-0.50418003049582	0.0009990009990009652	2	3
soil	soil	-0.4695961932804038	0.0009990009990009652	57	100
ph 7.85	ph 7.85	-0.36322887638677115	0.0009990009990009652	2	2
ulanbuh desert *	ulanbuh desert *	-0.3451679899048321	0.0009990009990009652	1	1
farm	farm	0.4433855618066144	0.0009990009990009652	21	36
chicken	chicken	0.45241600504758406	0.0009990009990009652	17	17
canada	canada	0.4544797307955201	0.0009990009990009652	16	29
gallus gallus	gallus gallus	0.46174877753825116	0.0009990009990009652	18	18
research facility	research facility	0.4991324465008677	0.0009990009990009652	121	161
homo sapiens	homo sapiens	0.5121326042378674	0.0009990009990009652	151	288
feces	feces	0.5239891687260109	0.0009990009990009652	223	344
