	term	odif	pvals	num_enriched_exps	num_total_exps
oral cavity	oral cavity	-0.27685088633993743	0.0009990009990009652	8	14
oral wash	oral wash	-0.2554744525547445	0.0009990009990009652	5	6
LOWER IN dentition	LOWER IN dentition	-0.24817518248175188	0.0009990009990009652	8	22
LOWER IN 1-year-old human stage	LOWER IN 1-year-old human stage	-0.24254431699687176	0.0019980019980020414	3	17
dentition	dentition	-0.24118873826903023	0.0009990009990009652	18	22
LOWER IN supragingival plaque	LOWER IN supragingival plaque	-0.2408759124087591	0.0009990009990009652	7	10
mouth	mouth	-0.23660062565172055	0.0019980019980020414	17	24
new zealand	new zealand	0.32346193952033364	0.0009990009990009652	2	4
taipei city *	taipei city *	0.3306569343065694	0.0009990009990009652	1	1
iga negative fraction	iga negative fraction	0.3308654848800834	0.0009990009990009652	3	8
LOWER IN iga positive fraction	LOWER IN iga positive fraction	0.3308654848800834	0.0009990009990009652	3	8
low anterior resection *	low anterior resection *	0.3357664233576643	0.0009990009990009652	1	1
taiwan	taiwan	0.3524504692387904	0.0009990009990009652	3	3
urban community	urban community	0.3614181438998958	0.0009990009990009652	2	2
